"Top Level Domain","U-Label","Translation","Agreement Type","Operator","Agreement Status","Agreement Date","Link"
"how",,,"Base, Non-Sponsored","Charleston Road Registry Inc.","active","23 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/how"
"hsbc",,,"Base, Brand (Spec 13), Non-Sponsored","HSBC Global Services (UK) Limited","active","24 Oct 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/hsbc"
"htc",,,"Base, Brand (Spec 13), Non-Sponsored","HTC corporation","terminated","2 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/htc"
"hughes",,,"Base, Brand (Spec 13), Non-Sponsored","Hughes Satellite Systems Corporation","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/hughes"
"hyatt",,,"Base, Brand (Spec 13), Non-Sponsored","Hyatt GTLD, L.L.C.","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/hyatt"
"hyundai",,,"Base, Brand (Spec 13), Non-Sponsored","Hyundai Motor Company","active","9 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/hyundai"
"ibm",,,"Base, Brand (Spec 13), Non-Sponsored","International Business Machines Corporation","active","31 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/ibm"
"icbc",,,"Base, Brand (Spec 13), Non-Sponsored","Industrial and Commercial Bank of China Limited","active","19 Feb 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/icbc"
"ice",,,"Base, Brand (Spec 13), Non-Sponsored","IntercontinentalExchange, Inc.","active","30 Oct 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/ice"
"icu",,,"Base, Non-Sponsored","ShortDot SA","active","8 Jan 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/icu"
"ieee",,,"Base, Brand (Spec 13), Community (Spec 12), Non-Sponsored","IEEE Global LLC","active","23 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/ieee"
"ifm",,,"Base, Brand (Spec 13), Non-Sponsored","ifm electronic gmbh","active","30 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/ifm"
"iinet",,,"Base, Non-Sponsored","Connect West Pty. Ltd.","terminated","3 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/iinet"
"ikano",,,"Base, Brand (Spec 13), Community (Spec 12), Non-Sponsored","Ikano S.A.","active","9 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/ikano"
"imamat",,,"Base, Non-Sponsored","Fondation Aga Khan (Aga Khan Foundation)","active","6 Aug 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/imamat"
"imdb",,,"Base, Brand (Spec 13), Non-Sponsored","Amazon Registry Services, Inc.","active","25 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/imdb"
"immo",,,"Base, Non-Sponsored","Binky Moon, LLC","active","10 Jul 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/immo"
"immobilien",,,"Base, Non-Sponsored","Dog Beach, LLC","active","7 Nov 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/immobilien"
"inc",,,"Base, Non-Sponsored","Intercap Registry Inc.","active","10 Mar 2018","http://iti-web-icann-lax-prod/en/registry-agreements/details/inc"
"industries",,,"Base, Non-Sponsored","Binky Moon, LLC","active","5 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/industries"
"infiniti",,,"Base, Brand (Spec 13), Non-Sponsored","NISSAN MOTOR CO., LTD.","active","27 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/infiniti"
"info",,,"Base, Non-Sponsored","Identity Digital Domains Limited","active","30 Jun 2019","http://iti-web-icann-lax-prod/en/registry-agreements/details/info"
"ing",,,"Base, Non-Sponsored","Charleston Road Registry Inc.","active","23 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/ing"
"ink",,,"Base, Non-Sponsored","Registry Services, LLC","active","5 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/ink"
"institute",,,"Base, Non-Sponsored","Binky Moon, LLC","active","7 Nov 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/institute"
"insurance",,,"Base, Community (Spec 12), Non-Sponsored","fTLD Registry Services LLC","active","19 Feb 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/insurance"
"insure",,,"Base, Non-Sponsored","Binky Moon, LLC","active","20 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/insure"
"intel",,,"Base, Brand (Spec 13), Non-Sponsored","Intel Corporation","terminated","6 Aug 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/intel"
"international",,,"Base, Non-Sponsored","Binky Moon, LLC","active","7 Nov 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/international"
